id,question,correctAnswer,answerA,answerB,answerC,answerD
196948,The acidity of oxyacids is determined using the number of oxygen atoms present with this value for the central atom.,C,Arrhenius equation,Lattice energy,Electronegativity,Viscosity
196956,"Lamport signatures are stored in one variety of this data structure, and another variety of this structure is self-balancing and is called red-black.",A,Tree (graph theory),Group (mathematics),Prime number,Tree (data structure)
196965,"One result of this is that objects feel heavier or lighter depending on direction of motion, which is known as the Eotvos effect.",A,Coriolis effect,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
196967,"The square root of this quantity is obtained when the gamma function is evaluated at one-half, and it can be approximated by Buffon's needle problem.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Pi,Group (mathematics)
196979,"A precursor stage to the formation of these cells is the creation of a normoblast, and they express the CD47 marker to protect themselves from phagocytosis.",C,Don Giovanni,Group (mathematics),Red blood cell,Hamiltonian (quantum mechanics)
196984,"This scientist showed a quantitative link between Rayleigh scattering and critical opalescence, and he also created a theory of stimulated emission for use in lasers.",D,Bessel function,Brownian motion,Magnetic monopole,Albert Einstein
196985,"Like Planck's constant, the modern value of this quantity can be determined with X-ray crystallography, and it was experimentally determined by Jean Perrin.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Avogadro constant,Group (mathematics)
196990,"A rare, green-colored form of this mineral used in jewelry is called prasiolite.",A,Quartz,Adenosine triphosphate,Thermoelectric effect#Seebeck effect,Raman scattering
197011,"Triggers such as a landslide can cause these entities to undergo a limnic eruption, and thousands of people were asphyxiated by carbon dioxide when one of these named Nyos.",D,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics),Lake
197015,"This man posited that a person cannot fully trust his sense of determining reality with his ""dream argument."" He formulated an early version of the ""brain in a vat"" thought experiment with his conception of the ""evil demon,"" and he argued against empiricism using the example of a melting piece of wax.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Rene Descartes
197024,This quantity is related to isospin by the Gell-Mann-Nishijima equation.,B,Group (mathematics),Electric charge,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
197026,"In one condition involving this molecule, kidneys are unable to filter waste products from the blood due to a failure of the basement membranes.",B,Microtubule,Collagen,Citric acid cycle,Cholesterol
197032,The fact that this property emerges from interaction with regions separated by Neel or Bloch walls is demonstrated by the Barkhausen effect.,A,Ferromagnetism,Seafloor spreading,Cherenkov radiation,Thermoelectric effect#Seebeck effect
427,It is often cited as the secular analogue to the Lamentation at the Cappella di Eleonora.,B,Transcription (genetics),Venus,Hamiltonian (quantum mechanics),Group (mathematics)
197038,"These objects possess a magnetic field whose axis of symmetry is offset from the rotation axis, giving rise to the lighthouse effect.",C,Cherenkov radiation,Zeeman effect,Pulsar,Magnetic field
197047,"One representation of this quantity is equal to the momentum squared over two times mass, and it is represented in the Lagrangian with a capital T. The equipartition theorem dictates that for molecules in an ideal gas, this quantity is equal to three-halves times the Boltzmann constant times temperature.",A,Kinetic energy,Hamiltonian (quantum mechanics),Group (mathematics),Don Giovanni
197051,"Glaucophytes are microscopic varieties of these organisms, and a lichen is composed of a fungus and one of them.",A,Algae,Transcription (genetics),Hamiltonian (quantum mechanics),Group (mathematics)
197056,"A fixed gap ""h"" is used in one variation of this operation, which improves upon a simpler version in which ""h"" would always equal one.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Sorting algorithm
197064,This quantity can be calculated using the Eyring equation.,B,Vapor pressure,Activation energy,Arrhenius equation,Henry's law
197067,This structure is associated with a lysosomal storage disease caused by deficiency of alpha-galactosidase A known as Fabry's disease.,A,X chromosome,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
197071,"""P"", ""R"", and ""S"" are used to name the processes that occur in these events, and the presence of the Balmer series in their spectra is used to categorize them.",B,Group (mathematics),Supernova,Don Giovanni,Hamiltonian (quantum mechanics)
197076,Canal ray tubes were used to investigate a form of this phenomenon predicted by special relativity in the Ives-Stillwell experiment.,C,Cherenkov radiation,Electric field,Doppler effect,Diamagnetism
484,"This painting was originally supposed to serve as the companion piece to Giovanni Rost's Innocence tapestry, and in Studies in Iconology, Erwin Panofsky has argued that it represents a critique of Luxury.",A,Venus,The Tempest,The Last Supper (Leonardo da Vinci),The Death of Socrates
197094,These substances usually exhibit a non-Maxwellian velocity distribution and cold varieties of it could theoretically form Rydberg matter.,C,Viscosity,Electronegativity,Plasma (physics),Bose-Einstein condensate
197103,This man explored non-uniformity arising from reaction-diffusion systems in The Chemical Basis of Morphogenesis.,B,Hamiltonian (quantum mechanics),Alan Turing,Don Giovanni,Group (mathematics)
197112,The B variety of this structure forms the backbone of NTFS and btrfs [butter-eff-ess].,C,Group (mathematics),Tree (data structure),Tree (graph theory),Bessel function
197123,"Dmc1 and Rad51 are genes involved in pachytene during this process, and the synaptonemal complex assembles in leptotene during the first stage of this process.",B,Group (mathematics),Meiosis,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
197126,21 (Tiebreaker).,C,Dirac delta function,Hamiltonian (quantum mechanics),X-ray,Group (mathematics)
197128,"One of the ""Golden Rules"" for operational amplifiers states that this quantity is the same at both inputs of an op-amp.",D,Hooke's law,Thermoelectric effect#Seebeck effect,Davisson-Germer experiment,Electric current
197133,"In 2005, observations of this object's outer disk indicated it may be almost twice as large as previously thought.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Andromeda Galaxy,Hamiltonian (quantum mechanics)
103854,"One of them has a conserved gag, and is analogous to copia in Drosophila.",B,Group (mathematics),Transposable element,Transcription (genetics),Hamiltonian (quantum mechanics)
197145,"One of these reactions that produces substituted 1,4-cyclohexadienes is named for Birch.",A,Reduction (chemistry),Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
197148,"These features may create breccia-filled diatremes, which can form maars when they reach the surface.",B,Georg Wilhelm Friedrich Hegel,Volcano,Hamiltonian (quantum mechanics),Group (mathematics)
197157,"At low temperatures, Debye's model accounts for phonon contribution to this quantity.",B,Hamiltonian (quantum mechanics),Heat capacity,Group (mathematics),Georg Wilhelm Friedrich Hegel
197166,The STAR Detector at BNL discovered this particle's antiparticle in 2011.,A,Alpha particle,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
197176,Founder-flush models of this phenomenon propose that it may result from repeated bottlenecks.,A,Speciation,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
197182,"The quotients of this number's continued fraction representation are all one, and Ptolemy's Theorem shows that this value is the ratio of a regular pentagon's diagonal to its side length.",B,Group (mathematics),Golden ratio,Hamiltonian (quantum mechanics),Don Giovanni
197184,Euler's laws of motion reformulate Newton's laws with respect to this quantity.,D,Group (mathematics),Hamiltonian (quantum mechanics),Johann Wolfgang von Goethe,Center of mass
197188,21 (Tiebreaker).,A,Matrix (mathematics),Dirac delta function,Group (mathematics),Hamiltonian (quantum mechanics)
197197,"This man discovered a method for minimizing chromatic aberration in telescopes, and solved the brachistochrone problem with the curve of a cycloid.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Isaac Newton,Hamiltonian (quantum mechanics)
197200,This man names a type of ordered field in which all non-negative elements are squares.,D,Group (mathematics),Riemann zeta function,Hamiltonian (quantum mechanics),Euclid
197207,"The SILEX method sorts samples of this element, and an acetate of an oxycation of this element is used as a negative stain in electron microscopy.",A,Uranium,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics)
197209,21 (Tiebreaker).,D,Hamiltonian (quantum mechanics),Group (mathematics),Dirac delta function,Ideal gas law
197211,"""Air-seeding"" causes cavitation in this tissue, which can be fixed by importing solutes through ray cells.",B,Georg Wilhelm Friedrich Hegel,Xylem,Group (mathematics),Hamiltonian (quantum mechanics)
197221,One of these devices is paired with a voltage source to simplify a circuit in Thevenin's theorem.,B,Don Giovanni,Resistor,Hamiltonian (quantum mechanics),Group (mathematics)
197227,"The SNC meteorites, along with the recently found Tissint meteorite, originated from this body.",A,Mars,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
197231,"Study of the patient HM led to the dissociation of this phenomenon into procedural and declarative types, the latter of which can be further divided into semantic and episodic components.",B,Georg Wilhelm Friedrich Hegel,Memory,Group (mathematics),Hamiltonian (quantum mechanics)
197233,"This quantity is the numerator of the exponential term of Black's equation, and its value can be determined by finding the slope of a graph plotting the log of the rate constant against the reciprocal of temperature.",C,Group (mathematics),Hamiltonian (quantum mechanics),Activation energy,Don Giovanni
197237,"Many of these organisms contain organs of Bojanus, and some types of them produce a free swimming larva called a veliger.",D,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics),Mollusca
197244,This star's white dwarf companion was postulated by Fredrich Bessel and discovered by Alvan Clark.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Sirius
197248,"He's not Navier, but this man and Stokes name a diffusion equation that models the flow of spherical particles through liquids with low Reynolds numbers.",C,Diamagnetism,Electric field,Albert Einstein,Cherenkov radiation
197255,The Riemann sphere is formed by adding this point to the complex plane.,D,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics),Infinity
197257,The Sackur-Tetrode equation describes this quantity for a monatomic ideal gas.,B,Georg Wilhelm Friedrich Hegel,Entropy,Group (mathematics),Hamiltonian (quantum mechanics)
197264,One variety of this system with discrete states is named for Doubochinski.,C,Don Giovanni,Group (mathematics),Pendulum,Hamiltonian (quantum mechanics)
197266,"""Toy"" and ""toe"" are two orthologs of the PAX6 gene in Drosophila named for their influence on the development of these structures.",B,Mitochondrion,Eye,Actin,Echinoderm
197274,"The value for this quantity at which a molecule has no charge is called the isoelectric point, and an increase in this quantity allows hemoglobin to carry more oxygen in the Bohr effect.",D,Diffusion,Viscosity,Enthalpy,PH
207644,The trochophore is a ciliated larval stage in the life cycle of many marine organisms in this phylum.,C,Mitochondrion,Echinoderm,Mollusca,Bird
197291,"Kruskal-Szekeres coordinates can be used to describe one type of these entities, and the Penrose process could hypothetically extract energy from them.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Black hole
197313,"Porath and Flodin introduced dextran-based gels for the size-exclusion variety of this process, and this process's optimal velocity can be found with the Van Deemter equation.",B,Don Giovanni,Chromatography,Hamiltonian (quantum mechanics),Group (mathematics)
197316,"Abscisic acid triggers an influx of this element in stomatal guard cells, and this element's oxalate and carbonate can form raphides in plants.",D,Peroxisome,Cholesterol,Apoptosis,Calcium
197324,"This compound converts oleic acid into azelaic acid, and its attacks on double bonds in polymers leads to namesake ""cracking"" of materials like rubber.",A,Ozone,Ammonia,Arsenic,Cyclohexane
197327,"The Pratt and Airy models describe the gravitational equilibrium of these objects, called isostasy, while Vacquier noticed magnetic striping in them.",A,Plate tectonics,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
197337,"Torricelli's equation is a special case of this principle, which can be derived by integrating Euler's equations under certain assumptions that only apply to systems with low Mach numbers.",A,Bernoulli's principle,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
197347,Norman and Jensen created triangles in which they plot chemical species according to this quantity.,A,Electronegativity,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
197352,Hadamard regularized this operation under certain conditions by dropping divergent terms.,A,Integral,Surface tension,Vapor pressure,Entropy
197358,"A type of this process in which collisions are much more likely than is typical is named for Knudsen, and multicomponent systems use the Maxwell-Stefan model.",D,Arrhenius equation,Enthalpy,Viscosity,Diffusion
197368,This type of stone can be used in lithography to print an image onto multiple sheets of paper.,B,Hamiltonian (quantum mechanics),Limestone,Group (mathematics),Don Giovanni
197374,"In the presence of zinc ions, this molecule forms hexamers.",B,Cholesterol,Insulin,Citric acid cycle,Adenosine triphosphate
197376,"This phenomenon can occur at room temperatures when catalyzed with muons, and the Lawson criterion defines the conditions at which this phenomenon starts.",B,Spin (physics),Nuclear fusion,Seafloor spreading,Thermoelectric effect#Seebeck effect
197391,"This scientist devised five rules for determining the structure of complex ionic crystals, and he incorrectly proposed a triple helix for the structure of DNA.",D,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics),Linus Pauling
197397,"In the secular conformation form of this condition, the decay rate of a radioactive element is equal to the production rate of the daughter nucleus.",A,List of types of equilibrium,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
197402,Horsts form between grabens at these geographic features.,B,Don Giovanni,Fault (geology),Group (mathematics),Hamiltonian (quantum mechanics)
197409,"The curl of this physical quantity is given by the vorticity, and a terminal value for this quantity is achieved when the accelerating force on an object is equal to its drag force.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Velocity
197418,"This molecule functions as the substrate to adenylate cyclase enzymes, and this molecule is made up of a purine base attached to a pentose sugar.",A,Adenosine triphosphate,Abscisic acid,Amino acid,Cyclic adenosine monophosphate
197421,"This activist published a pamphlet urging for a stronger defense system called The Plain Truth which included a cartoon of a cut up snake captioned ""Join or Die."" This man proposed the Albany Plan.",C,Hamiltonian (quantum mechanics),Group (mathematics),Benjamin Franklin,Georg Wilhelm Friedrich Hegel
197425,These objects can be generated by Hutchinson operators such as iterated function systems.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Fractal
197429,"The relative expression of CI [""C-one""] and cro [""crow""] determines whether these structures enter the lytic or lysogenic cycles.",C,Hamiltonian (quantum mechanics),Don Giovanni,Virus,Group (mathematics)
197432,"The degree to which this phenomenon polarizes light is called Brewster's Angle, and Fresnel's equations and Huygens' principle govern this process.",C,Group (mathematics),Hamiltonian (quantum mechanics),Refraction,G. E. Moore
120287,"Roberval found that the area under this curve is equal to three pi times its height squared, and Wren solved Pascal's challenge to determine its arc length to be eight times its height.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Cycloid
197437,Benioff zones counterbalance this process that Dietz described independently of Hess.,A,Seafloor spreading,Hamiltonian (quantum mechanics),Group (mathematics),Don Giovanni
197453,A deviation from this equation leads to a compressibility factor that can be calculated by dividing the left side of this equation by its right side.,C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Ideal gas law,Group (mathematics)
197460,"These particles are produced by annihilation of electron-positron pairs at low energies, and this particle transfers energy to electrons in an elastic collision in an effect named for Compton.",B,Diamagnetism,Photon,Phonon,Paramagnetism
197470,"The reactance of an inductor is equal to this quantity times the inductance, and resonance occurs at the natural type of this quantity.",C,Hamiltonian (quantum mechanics),Group (mathematics),Frequency,Georg Wilhelm Friedrich Hegel
197476,"Alternating bands of dark and light on these structures are formed from the cyclic changes in temperatures and are called ogives, and the steep sides of drumlins indicate the direction in which these structures advanced.",D,Seafloor spreading,Triton (moon),Doris Lessing,Glacier
197502,"This phenomenon is hypothesized to be mediated by a mass-less particle with spin-two, and the Einstein field equations describe this phenomenon.",B,Phonon,Gravity,Paramagnetism,Neutrino
197510,These organisms collect gametes with scopa and use propolis as a building material.,C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Bee,Hamiltonian (quantum mechanics)
197528,"The pressure of the air above the substance in question is reduced in the ""vacuum"" form of this process, and azeotropes, which are solutions that deviate from Raoult's law, are impervious to the ""simple"" form of this process.",D,Grignard reaction,Aldol reaction,Henry's law,Distillation
197540,These objects are associated with wall clouds and supercell thunderstorms.,C,Group (mathematics),Hamiltonian (quantum mechanics),Tornado,Georg Wilhelm Friedrich Hegel
197545,This concept explains why the torque of a dipole would cause it to rotate about its center.,B,Hamiltonian (quantum mechanics),Electric field,Group (mathematics),Don Giovanni
197549,"[10[ Name this constellation also known as ""The Hunter"" that contains a famous belt composed of three stars.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Orion (constellation)
197553,"In its most general form, this statement is written as ""standard deviation of A times standard deviation of B is greater than or equal to negative i over two times the commutator of A and B."" A thought experiment of observing an electron through a gamma-ray microscope justifies this statement that can measure the lifetime of a virtual particle.",B,Hamiltonian (quantum mechanics),Uncertainty principle,Group (mathematics),Don Giovanni
197555,The right front quadrant is the strongest part of these phenomena that gain strength from easterly waves.,B,Group (mathematics),Tropical cyclone,G. E. Moore,Hamiltonian (quantum mechanics)
197557,"This disease can be treated with the drug tacrine, which blocks the functions of cholinesterase [""kolin-ester-ase""].",C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Alzheimer's disease,Hamiltonian (quantum mechanics)
197564,The derivative of this quantity with respect to temperature is the negative of the entropy.,B,Arrhenius equation,Gibbs free energy,Enthalpy,Vapor pressure
197577,"These compounds are described using the  E-Z [E dash Z] notation when they occur across alkenes, and a more generalized version of that notation is the cis-trans notation.",B,Group (mathematics),Isomer,Hamiltonian (quantum mechanics),Don Giovanni
197586,"The conservation of this quantity is a consequence of the translational invariance of the Lagrangian, and this quantity is canonically conjugate to position.",D,Viscosity,Mass,Turbulence,Momentum
197589,"Examples of these cells include Purkinje cells, and certain parts of these cells are often surrounded by Schwann cells, which are types of glial cells.",B,Hamiltonian (quantum mechanics),Neuron,Group (mathematics),Georg Wilhelm Friedrich Hegel
197598,"One form of this property can be calculated by raising the product of each value in a sample to 1/n [""one over n""], and this property also comes in a ""harmonic"" variety.",B,Hamiltonian (quantum mechanics),Mean,Georg Wilhelm Friedrich Hegel,Group (mathematics)
197600,Upward sliding avalanches occur in this region.,D,Cherenkov radiation,Triton (moon),Mantle (geology),Inner core
197603,"Boiling water reactors are heated up by energy released from this process, and the products of breeder reactors are capable of undergoing this process.",D,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics),Nuclear fission
197608,"This substance inhibits the conversion of triglycerides to fatty acids in adipose tissue, and commercial forms of this substance include Actrapid [""act rapid""].",A,Insulin,Niacin,Glycogen,Cholesterol
207698,"This quantity scales with the square of employment according to Okun's law, which predicts a namesake ""gap"" in this quantity.",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Gross domestic product
197623,This mathematician proved that the Riemann zeta function may be written as an infinite product over the primes.,C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Leonhard Euler,Group (mathematics)
197624,Diane Dodd studied this process by feeding one population fruit flies only starch and others only maltose.,C,Group (mathematics),Don Giovanni,Speciation,Hamiltonian (quantum mechanics)
197630,"Functional groups featuring this element are found on either side of the carbonyl group in urea molecules, and  plants are * unable to use this element unless it has been acted upon by lightning or mycchorhizae [mycor-izzay].",A,Nitrogen,Ketone,Adenosine triphosphate,Boron
197633,"The Chandrashekar Limit gives the upper bound on this quantity of white dwarf stars, and the product of the rotational analogue of this quantity and angular acceleration yields torque.",B,Hamiltonian (quantum mechanics),Mass,Georg Wilhelm Friedrich Hegel,Group (mathematics)
197638,"The term regolith can refer to this, although it mostly applies to those found on the moon.",C,Group (mathematics),Hamiltonian (quantum mechanics),Soil,Transcription (genetics)
197654,"These particles were used in the Davisson-Germer experiment to prove the de Broglie [duh BROI] hypothesis, and its namesake capture is the decay process of lighter isotopes of transition metals such as silver 105.",A,Electron,Neutrino,Paramagnetism,Electric field
197661,"His proof took a finite list of numbers, multiplied them together, and added one.",A,Euclid,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
197665,"The Boussinesq approximation is used to model the ""natural"" type of this process, in which fluid motion is generated by density differences due to temperature gradients.",B,Don Giovanni,Convection,Group (mathematics),Hamiltonian (quantum mechanics)
207707,"As a consequence of Lagrange's theorem, this is the size and number of all proper subgroups of a group of prime order.",A,1 (number),Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
197679,"The Faraday rotation studies the interaction of light and this in a medium, and it induces a quantized resistivity in the quantum Hall effect.",D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Magnetic field
197684,"These objects' thermodynamic processes inspired the holographic principle, and the ergosphere surrounds a rotating one of these objects.",C,Hall effect,Pauli exclusion principle,Black hole,Cherenkov radiation
197698,This phylum includes organisms called limpets and nudibranches.,B,Spleen,Mollusca,Sponge,Keratin
197699,"This quantity for an ideal gas can be calculated by the Sackur-Tetrode equation, while another equation uses this quantity, temperature, and enthalpy to calculate Gibbs free energy.",A,Entropy,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
197701,This organelle's lamina helps support its shape.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Cell nucleus
197704,Substances lacking this property can create Rollin films.,B,Diffusion,Viscosity,Phonon,Convection
197715,"Aside from the ""bare area"" of this organ, it is covered entirely by visceral peritoneum.",D,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni,Liver
197720,"This quantity is represented by a capital T in the formula for the Hamiltonian, and its average per molecule in an ideal gas is 3/2 times kt.",D,Electronegativity,Turbulence,Viscosity,Kinetic energy
103953,The idea for this first occurred to both of its formulators after reading of Louis Dunoyer's work on sodium.,C,Don Giovanni,Hamiltonian (quantum mechanics),Stern-Gerlach experiment,Group (mathematics)
197738,"The relativistic four-vector version of this physical quantity is proposed under Lorentzian translation, and Euler's first law relates this quantity with the velocity of a frame of reference.",D,Thermoelectric effect#Seebeck effect,Angular momentum,Hall effect,Momentum
197747,"Its namesake counting function, pi of n, is approximately given by n over the natural logarithm of n. 1024 bit versions of these are used in Diffie-Hellman key exchange, and its distribution is linked to the zeros of the Riemann zeta function.",B,Group (mathematics),Prime number,Don Giovanni,Hamiltonian (quantum mechanics)
197749,"This man proved that an odd prime can be expressed distinctively as the difference of two squares, and his principle of least time was used to derive Snell's law.",C,Group (mathematics),Don Giovanni,Pierre de Fermat,Hamiltonian (quantum mechanics)
120341,"Part of this structure is herniated in the Type I Chari malformation, while one population of cells active in it are inhibited by Golgi cells.",B,Georg Wilhelm Friedrich Hegel,Cerebellum,Group (mathematics),Hamiltonian (quantum mechanics)
197764,"The secondary type of this tissue is produced on the adaxial side of the vascular cambium, whereas the primary type of this tissue is located closest to the pith.",D,Magnesium,Tuberculosis,Chlorophyll,Xylem
197766,"The Zeisel test can be used to detect them, and the compound THF is a very polar example of one.",A,Ether,Aldol reaction,Diels-Alder reaction,Wolff-Kishner reduction
197774,The results of this experiment were supported by the absence of a realignment in the parallel-plate capacitor used the Trouton-Noble Experiment.,B,Davisson-Germer experiment,Michelson-Morley experiment,Cherenkov radiation,Raman scattering
197786,The next NASA probe to visit this body will launch in November 2011 and is named Curiosity.,B,Ghana,Mars,Italy,Stratosphere
197790,The cords of Billroth are near its sinusoid vessels and it also contains the linear hilum.,D,Phloem,Retina,Liver,Spleen
197793,"Bruce Cork discovered the antiparticle partner for this particle in 1956, 24 years after James Chadwick discovered this particle itself in 1932.",A,Neutron,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
197801,This theorem implies that the field of complex numbers is the algebraic closure of the field of real numbers.,C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Fundamental theorem of algebra,Group (mathematics)
197809,"Alfven Waves occur in these substances, and the Langmuir Probe is used to measure them.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Plasma (physics)
197818,"The coelom [see-lem] forms the haemal systems of members of this phylum, which is the second largest phylum of deuterosomes.",C,Sponge,Actin,Echinoderm,Bird
207733,A pulse chase can be used to show that these cells lay at the bottom of crypts between intestinal villi.,A,Stem cell,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
197836,"This man discovered that rainfall occurred due to reductions in temperature, and also determined the composition of ether, finding its correct formula.",A,John Dalton,Transcription (genetics),Group (mathematics),Hamiltonian (quantum mechanics)
